Item,Place,Amount
lunch,coyo,12.31
lunch,publix,20.43
lunch,publix,10.29
dinner,dominos,29.34
drinks,tortuga,25.21
drinks,tortuga,17.9
dinner,moxies,64.14
coffee,starbucks,5.3
coffee,market,5.02
lunch,coyo,10.7
lunch,coyo,16.05
lunch,crema,22.83
lunch,crema,19.08
coffee,starbucks,5.83
drinks,sugar miami,57.16
drinks,rosa sky,45.34
drinks,rosa sky,44.01
lunch,rice,19.21
dinner,timpano,118.11
cofee,star,5.03
lunch,coyo,33.71
coffee,crema,5.33
coffee,shellys,18.89
dinner,doordash,38.72
coffee,tonys,10.87
cofee,bad ass,17.02
lunch,café,47.49
dinner,doordash,45.49
lunch,market,49.93
coffeee,starbucks,25.0
lunch,coyo,10.7
drinks,palm beach club,74.53
breakfast,doordash,38.97
lunch,crema,17.43
lunch,crema,16.28
dinner,dominos,32.4
drinks,palm beach club,106.39
breakfast,café bastille,74.48
coffee,starbucks,1.5
lunch,coyo,10.7
dessert,crumbl,16.98
