Item,Place,Amount
Dinner,RedOx,23.02
Dinenr,Earls,232.96
Dessert,Cheesecake,25.57
Lunch,Pura Vida,24.42
Dessert,Kilwins,23.53
Dessert,Kilwins,10.82
Dinner,Riverside,74.41
Lunch,Coyo,12.2
Bar,AS,131.58
Lunch,Coyo,14.03
Lunch,Pura Vida,24.42
Lunch,Coyo,16.05
Dinner,Mikeys,27.67
Diner,Pepe,19.5
Dessert,Hoffman,12.89
Breakfast,Anns,47.44
Coffee,Press,6.1
Dessert,Cheesecake,12.79
Lunch,Pura Vida,27.98
Lunch,Coyo,10.7
Desset,Pura Vida,5.3
Lunch,Coyo,10.7-
Lunch,Pura Vida,22.42
Lunch,Publix,12.83
Lunch,Crema,15.99
Breakfast,Java and Jam,84.74
Dessert,Cheesecake,25.57
Lunch,Coyo,10.7
Dinner,Doordash,22.05
Dinner,Uber eats,54.34
